name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Kibler Road,residential,False,213.40500000000003,,40.2,,19.1,"LINESTRING (621454.0828347877 4402826.86507525, 621454.8836006639 4402824.99041788, 621455.3461895284 4402812.008423901, 621454.2259022318 4402747.488174798, 621457.4618639559 4402640.51632874, 621457.6631225328 4402616.983320899, 621456.7648343765 4402614.193603206)"
Young Avenue,residential,False,206.521,,40.2,,18.5,"LINESTRING (621454.0828347877 4402826.86507525, 621453.2785543527 4402828.961716683, 621450.1457929531 4402832.020667605, 621445.667169858 4402833.504032896, 621428.532812715 4402833.454800249, 621418.7805314217 4402832.523279978, 621354.9839442599 4402830.514488378, 621335.1925510881 4402830.534446668, 621321.7501052869 4402829.988756279, 621311.725050428 4402830.052235887, 621299.9956881509 4402829.533677501, 621250.1379137925 4402829.18945883)"
Kay Court,residential,False,82.433,,40.2,,7.4,"LINESTRING (620943.7080417906 4402588.102114159, 620861.1733358232 4402584.358845361)"
,residential,False,68.58,,40.2,,6.1,"LINESTRING (620943.7080417906 4402588.102114159, 620954.2878131776 4402601.780000654, 621005.6772687101 4402602.879130959)"
,residential,False,79.655,,40.2,,7.1,"LINESTRING (620943.7080417906 4402588.102114159, 620964.9336315494 4402561.281427274, 621010.4780826321 4402560.878462723)"
Kay Court,residential,False,82.433,,40.2,,7.4,"LINESTRING (620861.1733358232 4402584.358845361, 620943.7080417906 4402588.102114159)"
Sawmill Road,residential,False,36.695,,40.2,,3.3,"LINESTRING (620861.1733358232 4402584.358845361, 620860.4249301383 4402620.983471564)"
Sawmill Road,residential,False,102.53399999999999,,40.2,,9.2,"LINESTRING (620861.1733358232 4402584.358845361, 620861.4461099117 4402572.484062594, 620861.4151489555 4402482.002735333)"
,residential,False,68.58,,40.2,,6.1,"LINESTRING (621005.6772687101 4402602.879130959, 620954.2878131776 4402601.780000654, 620943.7080417906 4402588.102114159)"
,residential,False,79.655,,40.2,,7.1,"LINESTRING (621010.4780826321 4402560.878462723, 620964.9336315494 4402561.281427274, 620943.7080417906 4402588.102114159)"
,residential,False,25.175,,40.2,,2.3,"LINESTRING (618855.9549214218 4401960.85580729, 618862.7775044565 4401985.052457692)"
,residential,False,25.175,,40.2,,2.3,"LINESTRING (618862.7775044565 4401985.052457692, 618855.9549214218 4401960.85580729)"
Elliott Road,tertiary,False,31.972,,48.3,30 mph,2.4,"LINESTRING (618862.7775044565 4401985.052457692, 618894.8086003026 4401985.992833748)"
Elliott Road,tertiary,False,341.8430000000001,,48.3,30 mph,25.5,"LINESTRING (618862.7775044565 4401985.052457692, 618846.3267631887 4401985.019651554, 618837.7501451025 4401985.552912307, 618832.1032618483 4401985.021376562, 618801.6003496889 4401984.993070916, 618795.0968342723 4401984.448298152, 618764.0868195308 4401983.968217188, 618753.7267476226 4401983.474801343, 618744.0433901423 4401983.546963749, 618734.2915468717 4401982.507896856, 618715.269201829 4401982.546593279, 618705.9388009608 4401981.958156211, 618696.7694224714 4401982.038330524, 618654.5547156929 4401980.27517535, 618647.7907686204 4401979.948536516, 618639.6493473985 4401980.0446758, 618520.4475577642 4401975.537924876)"
Maxwell Drive,residential,False,253.66900000000004,,40.2,,22.7,"LINESTRING (618862.7775044565 4401985.052457692, 618862.430939232 4402024.014490344, 618861.2965267762 4402058.523589652, 618861.7817254048 4402082.511048649, 618861.2498767754 4402155.552823131, 618858.8813032313 4402231.008551445, 618858.7695293351 4402238.223007818)"
Elliott Road,tertiary,False,31.972,,48.3,30 mph,2.4,"LINESTRING (618894.8086003026 4401985.992833748, 618862.7775044565 4401985.052457692)"
Elliott Road,tertiary,False,30.861,,48.3,30 mph,2.3,"LINESTRING (618894.8086003026 4401985.992833748, 618925.7260739707 4401986.916081891)"
